timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 10, -3, -74,-140,1091,514,-4,150,129
3, 6, -19, -70,-140,1091,514,-4,150,129
6, 0, -38, -59,-140,1091,514,-4,150,129
9, -11, -48, -50,-140,1091,514,-4,150,129
12, -20, -45, -47,-140,1091,514,-4,150,129
15, -30, -18, -58,-140,1091,514,-4,150,129
18, -32, 9, -76,-140,1091,514,-4,150,129
21, -19, 12, -78,-140,1091,514,-4,150,129
24, -8, 3, -70,-140,1091,514,-4,150,129
27, -2, -6, -63,-140,1091,514,-4,150,129
30, 0, -12, -61,-143,1092,514,-7,151,129
33, 1, -18, -61,-143,1092,514,-7,151,129
