timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 1, -45, -47,-29,1049,514,107,108,129
3, -8, -56, -40,-29,1049,514,107,108,129
6, -19, -66, -34,-29,1049,514,107,108,129
9, -33, -68, -34,-29,1049,514,107,108,129
12, -46, -63, -39,-29,1049,514,107,108,129
15, -60, -54, -46,-29,1049,514,107,108,129
18, -53, -19, -61,-29,1049,514,107,108,129
21, -29, 7, -70,-29,1049,514,107,108,129
24, -13, -4, -69,-30,1053,514,106,112,129
27, -3, -14, -67,-30,1053,514,106,112,129
30, 1, -20, -63,-30,1053,514,106,112,129
33, 3, -25, -60,-30,1053,514,106,112,129
