timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 4, 45, -63,-190,908,514,-54,-33,129
3, -3, 48, -64,-190,908,514,-54,-33,129
6, -17, 44, -63,-190,908,514,-54,-33,129
9, -29, 20, -63,-190,908,514,-54,-33,129
12, -29, -15, -70,-190,908,514,-54,-33,129
15, -21, -33, -77,-190,908,514,-54,-33,129
18, -10, -32, -75,-190,908,514,-54,-33,129
21, 0, -20, -69,-190,908,514,-54,-33,129
24, 7, -6, -65,-190,908,514,-54,-33,129
27, 10, 1, -64,-190,908,514,-54,-33,129
30, 12, 3, -65,-187,907,514,-51,-34,129
33, 13, 2, -65,-187,907,514,-51,-34,129
