timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 5, 33, -49,-44,1027,514,92,86,129
3, 2, 28, -58,-44,1027,514,92,86,129
6, -2, 16, -65,-44,1027,514,92,86,129
9, -7, -5, -69,-44,1027,514,92,86,129
12, -14, -24, -68,-44,1027,514,92,86,129
15, -23, -41, -63,-44,1027,514,92,86,129
18, -34, -56, -56,-44,1027,514,92,86,129
21, -48, -63, -51,-44,1027,514,92,86,129
24, -66, -53, -57,-44,1027,514,92,86,129
27, -58, -34, -65,-40,1009,514,96,68,129
30, -24, -34, -66,-40,1009,514,96,68,129
33, -4, -37, -65,-40,1009,514,96,68,129
36, 4, -32, -60,-40,1009,514,96,68,129
39, 7, -33, -56,-40,1009,514,96,68,129
42, 8, -36, -53,-40,1009,514,96,68,129
