timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -10, -44, -55,-109,1092,514,27,151,129
3, -16, -52, -53,-109,1092,514,27,151,129
6, -19, -60, -49,-109,1092,514,27,151,129
9, -19, -56, -43,-109,1092,514,27,151,129
12, -22, -39, -44,-109,1092,514,27,151,129
15, -35, -13, -64,-109,1092,514,27,151,129
18, -33, 6, -79,-109,1092,514,27,151,129
21, -16, -2, -72,-109,1092,514,27,151,129
24, -5, -14, -66,-109,1092,514,27,151,129
27, -1, -16, -63,-109,1092,514,27,151,129
30, 0, -20, -62,-104,1102,514,32,161,129
33, 0, -21, -62,-104,1102,514,32,161,129
