timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -6, -50, -40,-22,1023,514,114,82,129
3, -11, -53, -37,-22,1023,514,114,82,129
6, -18, -56, -30,-22,1023,514,114,82,129
9, -26, -65, -20,-22,1023,514,114,82,129
12, -36, -73, -16,-22,1023,514,114,82,129
15, -46, -70, -24,-22,1023,514,114,82,129
18, -56, -56, -38,-22,1023,514,114,82,129
21, -49, -30, -51,-22,1023,514,114,82,129
24, -27, -12, -60,-25,1026,514,111,85,129
27, -10, -16, -62,-25,1026,514,111,85,129
30, 0, -25, -62,-25,1026,514,111,85,129
33, 4, -32, -60,-25,1026,514,111,85,129
36, 5, -35, -57,-25,1026,514,111,85,129
