timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 14, 40, -43,-155,938,514,-19,-3,129
3, 15, 48, -43,-155,938,514,-19,-3,129
6, 11, 70, -35,-155,938,514,-19,-3,129
9, -1, 85, -19,-155,938,514,-19,-3,129
12, -20, 82, -9,-155,938,514,-19,-3,129
15, -35, 61, -21,-155,938,514,-19,-3,129
18, -39, 30, -54,-155,938,514,-19,-3,129
21, -39, 7, -83,-155,938,514,-19,-3,129
24, -27, 4, -87,-158,937,514,-22,-4,129
27, -8, 15, -75,-158,937,514,-22,-4,129
30, 4, 25, -65,-158,937,514,-22,-4,129
33, 9, 27, -60,-158,937,514,-22,-4,129
36, 11, 26, -59,-158,937,514,-22,-4,129
39, 12, 24, -61,-158,937,514,-22,-4,129
