timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -12, 14, -61,-200,1021,514,-64,80,129
3, -6, 14, -65,-200,1021,514,-64,80,129
6, 4, 4, -66,-200,1021,514,-64,80,129
9, 8, 4, -69,-200,1021,514,-64,80,129
12, 5, 17, -73,-200,1021,514,-64,80,129
15, -2, 54, -56,-200,1021,514,-64,80,129
18, -15, 72, -41,-200,1021,514,-64,80,129
21, -24, 46, -54,-200,1021,514,-64,80,129
24, -22, 25, -73,-200,1021,514,-64,80,129
27, -11, 20, -78,-208,1024,514,-72,83,129
30, 10, 43, -50,-208,1024,514,-72,83,129
33, 12, 45, -49,-208,1024,514,-72,83,129
36, 13, 42, -49,-208,1024,514,-72,83,129
39, 15, 39, -49,-208,1024,514,-72,83,129
