timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -7, -50, -40,-35,1017,514,101,76,129
3, -13, -57, -33,-35,1017,514,101,76,129
6, -24, -65, -23,-35,1017,514,101,76,129
9, -34, -71, -16,-35,1017,514,101,76,129
12, -45, -68, -22,-35,1017,514,101,76,129
15, -55, -55, -38,-35,1017,514,101,76,129
18, -50, -36, -55,-35,1017,514,101,76,129
21, -30, -19, -64,-35,1017,514,101,76,129
24, -13, -18, -64,-28,1014,514,108,73,129
27, -2, -24, -62,-28,1014,514,108,73,129
30, 3, -28, -60,-28,1014,514,108,73,129
33, 5, -38, -55,-28,1014,514,108,73,129
