timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 2, -22, -63,-159,796,514,-23,-145,129
3, -1, -16, -65,-159,796,514,-23,-145,129
6, -7, -9, -67,-159,796,514,-23,-145,129
9, -13, -5, -70,-159,796,514,-23,-145,129
12, -21, -7, -68,-159,796,514,-23,-145,129
15, -28, -23, -60,-159,796,514,-23,-145,129
18, -30, -49, -50,-159,796,514,-23,-145,129
21, -30, -66, -42,-159,796,514,-23,-145,129
24, -28, -67, -37,-191,843,514,-55,-98,129
27, -28, -66, -30,-191,843,514,-55,-98,129
30, -33, -69, -25,-191,843,514,-55,-98,129
