timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 3, 44, -59,-142,863,514,-6,-78,129
3, 1, 51, -60,-142,863,514,-6,-78,129
6, -8, 57, -61,-142,863,514,-6,-78,129
9, -25, 58, -60,-142,863,514,-6,-78,129
12, -51, 41, -61,-142,863,514,-6,-78,129
15, -56, -1, -72,-142,863,514,-6,-78,129
18, -39, -37, -78,-142,863,514,-6,-78,129
21, -19, -40, -73,-142,863,514,-6,-78,129
24, -2, -7, -68,-142,863,514,-6,-78,129
27, 5, 0, -69,-136,866,514,0,-75,129
30, 7, 0, -66,-136,866,514,0,-75,129
33, 8, -2, -64,-136,866,514,0,-75,129
