timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 15, -7, -66,-178,819,257,-42,-122,-128
3, 17, -3, -70,-178,819,257,-42,-122,-128
6, 20, 3, -76,-178,819,257,-42,-122,-128
9, 17, 5, -74,-178,819,257,-42,-122,-128
12, 11, 0, -63,-178,819,257,-42,-122,-128
15, 3, -16, -53,-178,819,257,-42,-122,-128
18, -4, -35, -44,-178,819,257,-42,-122,-128
21, -9, -48, -37,-178,819,257,-42,-122,-128
24, -14, -57, -33,-178,819,257,-42,-122,-128
27, -21, -67, -30,-233,872,514,-97,-69,129
30, -29, -76, -28,-233,872,514,-97,-69,129
