timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -6, -60, -37,-21,1046,514,115,105,129
3, -13, -67, -35,-21,1046,514,115,105,129
6, -22, -67, -34,-21,1046,514,115,105,129
9, -30, -63, -36,-21,1046,514,115,105,129
12, -41, -53, -42,-21,1046,514,115,105,129
15, -46, -30, -61,-21,1046,514,115,105,129
18, -34, -13, -73,-21,1046,514,115,105,129
21, -16, -17, -69,-21,1046,514,115,105,129
24, -4, -22, -68,-41,1054,514,95,113,129
27, 2, -23, -65,-41,1054,514,95,113,129
30, 4, -26, -61,-41,1054,514,95,113,129
