timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -15, -59, -37,-39,1046,514,97,105,129
3, -21, -62, -29,-39,1046,514,97,105,129
6, -38, -67, -26,-39,1046,514,97,105,129
9, -44, -67, -27,-39,1046,514,97,105,129
12, -54, -60, -35,-39,1046,514,97,105,129
15, -60, -34, -62,-39,1046,514,97,105,129
18, -45, -8, -78,-39,1046,514,97,105,129
21, -22, -10, -73,-39,1046,514,97,105,129
24, -6, -18, -69,-26,1037,514,110,96,129
27, 2, -23, -63,-26,1037,514,110,96,129
30, 5, -29, -59,-26,1037,514,110,96,129
33, 7, -33, -56,-26,1037,514,110,96,129
