timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -2, -47, -43,-39,1037,514,97,96,129
3, -11, -54, -37,-39,1037,514,97,96,129
6, -21, -63, -31,-39,1037,514,97,96,129
9, -30, -66, -28,-39,1037,514,97,96,129
12, -39, -66, -31,-39,1037,514,97,96,129
15, -52, -61, -39,-39,1037,514,97,96,129
18, -53, -38, -55,-39,1037,514,97,96,129
21, -34, -16, -65,-39,1037,514,97,96,129
24, -15, -19, -65,-31,1024,514,105,83,129
27, -2, -23, -62,-31,1024,514,105,83,129
30, 3, -24, -59,-31,1024,514,105,83,129
33, 5, -29, -57,-31,1024,514,105,83,129
