timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 6, 8, -58,-47,1006,514,89,65,129
3, 0, 5, -62,-47,1006,514,89,65,129
6, -7, 5, -67,-47,1006,514,89,65,129
9, -15, -6, -68,-47,1006,514,89,65,129
12, -25, -37, -55,-47,1006,514,89,65,129
15, -43, -68, -34,-47,1006,514,89,65,129
18, -61, -76, -27,-47,1006,514,89,65,129
21, -72, -66, -37,-47,1006,514,89,65,129
24, -75, -49, -51,-47,1006,514,89,65,129
27, -55, -33, -60,-45,1001,514,91,60,129
30, -19, -31, -65,-45,1001,514,91,60,129
33, 11, -34, -54,-45,1001,514,91,60,129
36, 12, -39, -49,-45,1001,514,91,60,129
39, 13, -41, -47,-45,1001,514,91,60,129
42, 14, -41, -47,-45,1001,514,91,60,129
