timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 5, 22, -57,-159,934,514,-23,-7,129
3, 7, 30, -58,-159,934,514,-23,-7,129
6, 7, 43, -56,-159,934,514,-23,-7,129
9, 1, 61, -47,-159,934,514,-23,-7,129
12, -30, 55, -48,-159,934,514,-23,-7,129
15, -39, 27, -61,-159,934,514,-23,-7,129
18, -36, -9, -77,-159,934,514,-23,-7,129
21, -29, -26, -82,-159,934,514,-23,-7,129
24, -17, -23, -75,-159,934,514,-23,-7,129
27, -7, -9, -68,-159,934,514,-23,-7,129
30, -1, 5, -68,-170,938,514,-34,-3,129
33, 2, 11, -68,-170,938,514,-34,-3,129
36, 4, 11, -66,-170,938,514,-34,-3,129
