timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 8, 6, -62,-130,1178,514,6,237,129
3, 0, 15, -61,-130,1178,514,6,237,129
6, -8, 19, -58,-130,1178,514,6,237,129
9, 1, -39, -60,-130,1178,514,6,237,129
12, 0, -47, -64,-130,1178,514,6,237,129
15, -3, -33, -71,-130,1178,514,6,237,129
18, -4, -13, -75,-130,1178,514,6,237,129
21, -1, 1, -72,-130,1178,514,6,237,129
24, 2, 4, -65,-130,1178,514,6,237,129
27, 1, 2, -59,-130,1178,514,6,237,129
30, 0, 19, -54,-175,1152,514,-39,211,129
33, 4, 38, -52,-175,1152,514,-39,211,129
36, 8, 38, -55,-175,1152,514,-39,211,129
39, 11, 36, -57,-175,1152,514,-39,211,129
42, 10, 44, -54,-175,1152,514,-39,211,129
