timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 10, 21, -60,-188,919,514,-52,-22,129
3, 10, 28, -61,-188,919,514,-52,-22,129
6, 6, 47, -60,-188,919,514,-52,-22,129
9, -2, 58, -58,-188,919,514,-52,-22,129
12, -13, 49, -56,-188,919,514,-52,-22,129
15, -17, 33, -52,-188,919,514,-52,-22,129
18, -20, 17, -57,-188,919,514,-52,-22,129
21, -20, -6, -74,-188,919,514,-52,-22,129
24, -15, -20, -84,-188,919,514,-52,-22,129
27, -4, -15, -77,-174,928,514,-38,-13,129
30, 7, -4, -68,-174,928,514,-38,-13,129
33, 11, 7, -64,-174,928,514,-38,-13,129
36, 13, 12, -64,-174,928,514,-38,-13,129
39, 14, 13, -65,-174,928,514,-38,-13,129
