timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 4, 47, -52,-86,822,514,50,-119,129
3, 3, 56, -55,-86,822,514,50,-119,129
6, -3, 63, -56,-86,822,514,50,-119,129
9, -15, 57, -52,-86,822,514,50,-119,129
12, -28, 40, -50,-86,822,514,50,-119,129
15, -37, 19, -55,-86,822,514,50,-119,129
18, -40, -5, -56,-86,822,514,50,-119,129
21, -36, -32, -57,-86,822,514,50,-119,129
24, -26, -44, -60,-86,822,514,50,-119,129
27, -17, -35, -61,-90,823,514,46,-118,129
30, -10, -26, -61,-90,823,514,46,-118,129
33, -7, -24, -62,-90,823,514,46,-118,129
