timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -6, -50, -42,-15,1050,514,121,109,129
3, -12, -54, -36,-15,1050,514,121,109,129
6, -21, -59, -28,-15,1050,514,121,109,129
9, -33, -70, -22,-15,1050,514,121,109,129
12, -45, -74, -25,-15,1050,514,121,109,129
15, -65, -65, -35,-15,1050,514,121,109,129
18, -76, -26, -60,-15,1050,514,121,109,129
21, -63, 11, -80,-15,1050,514,121,109,129
24, -35, 4, -77,-29,1052,514,107,111,129
27, -13, -12, -73,-29,1052,514,107,111,129
30, -5, -19, -68,-29,1052,514,107,111,129
33, -1, -24, -63,-29,1052,514,107,111,129
36, 2, -28, -58,-29,1052,514,107,111,129
