timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -14, -50, -43,-41,1025,514,95,84,129
3, -18, -53, -37,-41,1025,514,95,84,129
6, -26, -64, -32,-41,1025,514,95,84,129
9, -41, -74, -31,-41,1025,514,95,84,129
12, -65, -58, -44,-41,1025,514,95,84,129
15, -67, -27, -70,-41,1025,514,95,84,129
18, -48, 6, -86,-41,1025,514,95,84,129
21, -21, 6, -79,-41,1025,514,95,84,129
24, -4, -11, -72,-41,1025,514,95,84,129
27, 4, -24, -64,-53,1032,514,83,91,129
30, 5, -34, -58,-53,1032,514,83,91,129
33, 6, -39, -54,-53,1032,514,83,91,129
36, 6, -40, -52,-53,1032,514,83,91,129
