timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 7, 50, -21,-141,957,514,-5,16,129
3, 0, 53, -23,-141,957,514,-5,16,129
6, -1, 61, -25,-141,957,514,-5,16,129
9, 0, 62, -28,-141,957,514,-5,16,129
12, 1, 65, -26,-141,957,514,-5,16,129
15, -4, 78, -10,-141,957,514,-5,16,129
18, -16, 91, 8,-141,957,514,-5,16,129
21, -31, 89, 9,-141,957,514,-5,16,129
24, -41, 62, -9,-144,956,514,-8,15,129
27, -45, 34, -37,-144,956,514,-8,15,129
30, -41, 8, -64,-144,956,514,-8,15,129
33, -8, -6, -77,-144,956,514,-8,15,129
36, 0, 9, -73,-144,956,514,-8,15,129
39, 3, 20, -66,-144,956,514,-8,15,129
42, 5, 24, -62,-144,956,514,-8,15,129
45, 6, 23, -61,-144,956,514,-8,15,129
