timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -1, 17, -65,-102,814,514,34,-127,129
3, -3, 27, -66,-102,814,514,34,-127,129
6, -4, 37, -67,-102,814,514,34,-127,129
9, -5, 36, -64,-102,814,514,34,-127,129
12, -6, 21, -58,-102,814,514,34,-127,129
15, -9, 1, -56,-102,814,514,34,-127,129
18, -15, -18, -59,-102,814,514,34,-127,129
21, -12, -37, -70,-102,814,514,34,-127,129
24, -5, -32, -71,-102,814,514,34,-127,129
27, -3, -19, -62,-102,814,514,34,-127,129
30, 0, -20, -59,-103,835,514,33,-106,129
33, 4, -21, -57,-103,835,514,33,-106,129
36, 8, -19, -62,-103,835,514,33,-106,129
