timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -10, -48, -45,-71,1035,514,65,94,129
3, -18, -52, -42,-71,1035,514,65,94,129
6, -31, -61, -38,-71,1035,514,65,94,129
9, -40, -71, -34,-71,1035,514,65,94,129
12, -44, -71, -34,-71,1035,514,65,94,129
15, -52, -57, -46,-71,1035,514,65,94,129
18, -61, -29, -65,-71,1035,514,65,94,129
21, -47, 1, -76,-71,1035,514,65,94,129
24, -19, 4, -74,-71,1035,514,65,94,129
27, 0, -11, -68,-71,1035,514,56,103,129
30, 8, -20, -64,-80,1044,514,56,103,129
33, 10, -27, -60,-80,1044,514,56,103,129
36, 10, -31, -56,-80,1044,514,56,103,129
