timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 10, 26, -55,-114,875,514,22,-66,129
3, 10, 38, -54,-114,875,514,22,-66,129
6, 7, 54, -56,-114,875,514,22,-66,129
9, 2, 60, -55,-114,875,514,22,-66,129
12, -6, 54, -54,-114,875,514,22,-66,129
15, -17, 46, -52,-114,875,514,22,-66,129
18, -33, 36, -55,-114,875,514,22,-66,129
21, -38, 10, -69,-114,875,514,22,-66,129
24, -31, -20, -81,-114,875,514,22,-66,129
27, -22, -28, -79,-131,880,514,5,-61,129
30, -10, -16, -72,-131,880,514,5,-61,129
33, -4, 1, -69,-131,880,514,5,-61,129
36, 0, 8, -69,-131,880,514,5,-61,129
39, 3, 7, -68,-131,880,514,5,-61,129
42, 5, 5, -66,-131,880,514,5,-61,129
