timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -2, -51, -41,-20,994,514,116,53,129
3, -12, -56, -37,-20,994,514,116,53,129
6, -31, -69, -24,-20,994,514,116,53,129
9, -50, -77, -17,-20,994,514,116,53,129
12, -67, -71, -25,-20,994,514,116,53,129
15, -87, -58, -39,-20,994,514,116,53,129
18, -82, -29, -61,-20,994,514,116,53,129
21, -49, -6, -76,-20,994,514,116,53,129
24, -24, -9, -75,-20,994,514,116,53,129
27, -7, -18, -68,-10,1003,514,126,62,129
30, 0, -26, -59,-10,1003,514,126,62,129
33, 4, -34, -54,-10,1003,514,126,62,129
36, 5, -39, -51,-10,1003,514,126,62,129
