timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 29, 51, -49,-174,917,514,-38,-24,129
3, 28, 52, -40,-174,917,514,-38,-24,129
6, 16, 55, -31,-174,917,514,-38,-24,129
9, 5, 60, -24,-174,917,514,-38,-24,129
12, 3, 78, -14,-174,917,514,-38,-24,129
15, -3, 95, -8,-174,917,514,-38,-24,129
18, -18, 89, -12,-174,917,514,-38,-24,129
21, -32, 65, -24,-174,917,514,-38,-24,129
24, -40, 29, -35,-177,936,514,-41,-5,129
27, -33, -22, -43,-177,936,514,-41,-5,129
30, -23, -57, -53,-177,936,514,-41,-5,129
33, -18, -57, -60,-177,936,514,-41,-5,129
36, -10, -43, -62,-177,936,514,-41,-5,129
39, -4, -28, -63,-177,936,514,-41,-5,129
42, 1, -19, -62,-177,936,514,-41,-5,129
45, 3, -11, -63,-177,936,514,-41,-5,129
48, 4, -3, -62,-191,960,514,-55,19,129
