timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 7, 17, -60,-65,1011,514,71,70,129
3, 2, 11, -60,-65,1011,514,71,70,129
6, -3, -7, -54,-65,1011,514,71,70,129
9, -8, -39, -43,-65,1011,514,71,70,129
12, -16, -63, -31,-65,1011,514,71,70,129
15, -28, -77, -18,-65,1011,514,71,70,129
18, -46, -87, -7,-65,1011,514,71,70,129
21, -72, -85, -20,-65,1011,514,71,70,129
24, -83, -54, -54,-65,1011,514,71,70,129
27, -59, -19, -70,-67,1007,514,69,66,129
30, -25, -14, -70,-67,1007,514,69,66,129
33, -3, -21, -66,-67,1007,514,69,66,129
36, 8, -26, -60,-67,1007,514,69,66,129
39, 12, -33, -55,-67,1007,514,69,66,129
42, 14, -38, -52,-67,1007,514,69,66,129
