timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 14, -14, -67,-186,1152,514,-50,211,129
3, 21, -8, -69,-186,1152,514,-50,211,129
6, 16, -9, -67,-186,1152,514,-50,211,129
9, -4, -39, -56,-186,1152,514,-50,211,129
12, -23, -75, -42,-186,1152,514,-50,211,129
15, -38, -79, -38,-186,1152,514,-50,211,129
18, -59, -36, -46,-186,1152,514,-50,211,129
21, -58, 25, -61,-186,1152,514,-50,211,129
24, -31, 50, -67,-186,1167,514,-50,226,129
27, -12, 38, -66,-186,1167,514,-50,226,129
30, -2, 19, -65,-186,1167,514,-50,226,129
33, 0, 9, -66,-186,1167,514,-50,226,129
36, 0, 4, -65,-186,1167,514,-50,226,129
39, 1, 4, -64,-186,1167,514,-50,226,129
