timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 0, 41, -45,-163,994,514,-27,53,129
3, 1, 47, -52,-163,994,514,-27,53,129
6, 4, 45, -55,-163,994,514,-27,53,129
9, 6, 40, -55,-163,994,514,-27,53,129
12, 6, 43, -52,-163,994,514,-27,53,129
15, 3, 58, -45,-163,994,514,-27,53,129
18, -3, 70, -39,-163,994,514,-27,53,129
21, -13, 69, -34,-163,994,514,-27,53,129
24, -25, 59, -45,-170,1004,514,-34,63,129
27, -22, 26, -64,-170,1004,514,-34,63,129
30, -19, 17, -79,-170,1004,514,-34,63,129
33, -14, 18, -79,-170,1004,514,-34,63,129
36, -4, 24, -68,-170,1004,514,-34,63,129
39, 3, 32, -57,-170,1004,514,-34,63,129
42, 6, 36, -53,-170,1004,514,-34,63,129
45, 8, 37, -52,-170,1004,514,-34,63,129
