timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -1, 3, -61,-42,1046,514,94,105,129
3, -6, -6, -62,-42,1046,514,94,105,129
6, -8, -27, -58,-42,1046,514,94,105,129
9, -14, -51, -46,-42,1046,514,94,105,129
12, -27, -67, -33,-42,1046,514,94,105,129
15, -40, -77, -22,-42,1046,514,94,105,129
18, -56, -71, -27,-42,1046,514,94,105,129
21, -67, -54, -43,-42,1046,514,94,105,129
24, -50, -33, -56,-42,1046,514,94,105,129
27, -23, -25, -66,-49,1056,514,87,115,129
30, -6, -28, -68,-49,1056,514,87,115,129
33, 2, -26, -63,-49,1056,514,87,115,129
36, 5, -28, -58,-49,1056,514,87,115,129
39, 7, -32, -54,-49,1056,514,87,115,129
