timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 9, 28, -61,-159,979,514,-23,38,129
3, 7, 36, -60,-159,979,514,-23,38,129
6, 5, 49, -50,-159,979,514,-23,38,129
9, -8, 68, -35,-159,979,514,-23,38,129
12, -31, 71, -36,-159,979,514,-23,38,129
15, -34, 45, -58,-159,979,514,-23,38,129
18, -23, 18, -80,-159,979,514,-23,38,129
21, -15, 13, -81,-159,979,514,-23,38,129
24, -4, 22, -70,-159,979,514,-23,38,129
27, 3, 33, -62,-166,985,514,-30,44,129
30, 5, 35, -59,-166,985,514,-30,44,129
33, 12, 34, -55,-166,985,514,-30,44,129
