timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -26, -57, -42,-33,1036,514,103,95,129
3, -37, -65, -40,-33,1036,514,103,95,129
6, -45, -75, -37,-33,1036,514,103,95,129
9, -49, -71, -35,-33,1036,514,103,95,129
12, -66, -54, -45,-33,1036,514,103,95,129
15, -68, -17, -71,-33,1036,514,103,95,129
18, -39, 10, -82,-33,1036,514,103,95,129
21, -15, 1, -74,-33,1036,514,103,95,129
24, -2, -13, -68,-33,1036,514,103,95,129
27, 3, -23, -62,-33,1036,514,103,95,129
30, 5, -30, -59,-48,1040,514,88,99,129
33, 5, -33, -58,-48,1040,514,88,99,129
