timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -5, -11, -67,-41,1046,514,95,105,129
3, -5, -25, -64,-41,1046,514,95,105,129
6, -9, -35, -58,-41,1046,514,95,105,129
9, -17, -45, -51,-41,1046,514,95,105,129
12, -25, -56, -44,-41,1046,514,95,105,129
15, -37, -65, -40,-41,1046,514,95,105,129
18, -58, -62, -46,-41,1046,514,95,105,129
21, -66, 2, -84,-41,1046,514,95,105,129
24, -20, -4, -76,-41,1046,514,95,105,129
27, -4, -17, -69,-30,1049,514,106,108,129
30, 3, -23, -62,-30,1049,514,106,108,129
33, 6, -28, -60,-30,1049,514,106,108,129
36, 7, -32, -59,-30,1049,514,106,108,129
