timestamp, x, y, z
0, 41, 54, 3
3, 42, 55, 11
6, 41, 55, 25
9, 36, 55, 30
12, 30, 56, 26
15, 23, 58, 10
18, 19, 62, -25
21, 21, 62, -52
24, 27, 56, -52
27, 33, 50, -38
30, 37, 47, -26
33, 39, 48, -22
36, 39, 50, -21
