timestamp, x, y, z
0, 24, 53, -31
3, 21, 54, -38
6, 17, 55, -44
9, 15, 56, -50
12, 15, 52, -48
15, 8, 53, -20
18, -2, 63, 14
21, -1, 68, 32
24, 8, 68, 30
27, 15, 67, 20
30, 18, 66, 11
