timestamp, x, y, z
0, 28, 50, -35
3, 22, 48, -46
6, 19, 50, -58
9, 17, 52, -62
12, 16, 52, -43
15, 16, 62, -6
18, 20, 71, 17
21, 27, 67, 16
24, 32, 63, 5
27, 35, 58, -3
