timestamp, x, y, z
0, 41, -4, -40
3, 32, -2, -28
6, 20, 0, -17
9, 8, 4, -19
12, 7, 14, -44
15, 7, 25, -80
18, -3, 34, -113
21, -12, 31, -107
24, -18, 18, -73
27, -21, 19, -65
30, -21, 20, -65
33, -20, 13, -63
