timestamp, x, y, z
0, 43, -15, -37
3, 37, -16, -29
6, 28, -13, -22
9, 21, 1, -24
12, 18, 14, -28
15, 22, 14, -40
18, 12, 17, -69
21, 2, -4, -104
24, 1, -30, -98
27, -9, -13, -73
30, -16, 4, -65
33, -18, 5, -63
36, -19, 4, -63
39, -20, 6, -62
