timestamp, x, y, z
0, 30, 50, -34
3, 26, 52, -42
6, 23, 53, -52
9, 20, 52, -52
12, 20, 52, -40
15, 20, 54, -14
18, 21, 58, 11
21, 25, 62, 19
24, 30, 61, 14
27, 33, 57, 7
