timestamp, x, y, z
0, 24, 57, -32
3, 19, 56, -38
6, 16, 56, -44
9, 15, 60, -47
12, 16, 60, -37
15, 8, 60, -12
18, 1, 62, 17
21, 7, 66, 29
24, 15, 67, 24
27, 19, 63, 16
