timestamp, x, y, z
0, 45, -4, -45
3, 37, -1, -33
6, 22, 1, -17
9, 5, 9, -16
12, 0, 12, -33
15, -3, 18, -72
18, -19, 33, -104
21, -23, 34, -97
24, -18, 22, -72
27, -18, 21, -60
30, -21, 24, -61
33, -21, 18, -62
