timestamp, x, y, z
0, 30, 60, -19
3, 26, 61, -27
6, 17, 61, -47
9, 11, 57, -62
12, 7, 57, -48
15, -2, 64, -7
18, -3, 65, 30
21, 6, 64, 42
24, 14, 64, 31
27, 19, 63, 18
