timestamp, x, y, z
0, 41, -7, -39
3, 34, -10, -34
6, 25, -2, -26
9, 17, 9, -20
12, 12, 12, -32
15, 9, 14, -67
18, 6, 26, -100
21, -3, 27, -98
24, -13, 16, -74
27, -14, 15, -61
30, -14, 21, -62
33, -14, 21, -62
