timestamp, x, y, z
0, 28, 60, 10
3, 26, 61, 17
6, 23, 62, 23
9, 22, 54, 24
12, 18, 49, 14
15, 12, 57, -9
18, 12, 66, -36
21, 13, 68, -45
24, 16, 62, -34
27, 21, 58, -19
30, 25, 58, -8
33, 26, 61, -5
36, 27, 62, -7
