timestamp, x, y, z
0, 43, -8, -43
3, 41, -3, -47
6, 31, 5, -34
9, 16, 11, -14
12, 7, 11, -10
15, -10, 22, -57
18, -37, 47, -112
21, -37, 48, -106
24, -22, 28, -75
27, -19, 22, -62
30, -23, 30, -63
33, -23, 31, -64
