timestamp, x, y, z
0, 43, 53, 4
3, 44, 53, 12
6, 44, 52, 16
9, 42, 52, 21
12, 36, 55, 25
15, 22, 57, 16
18, 7, 60, -11
21, 6, 64, -44
24, 15, 61, -53
27, 22, 56, -40
30, 27, 55, -27
