timestamp, x, y, z
0, 20, 61, 4
3, 18, 62, 10
6, 10, 65, 21
9, 4, 62, 24
12, 8, 52, 10
15, 12, 37, -15
18, 12, 21, -48
21, 16, 20, -65
24, 17, 25, -60
27, 13, 34, -59
30, 13, 36, -63
