timestamp, x, y, z
0, 33, 39, -42
3, 24, 39, -51
6, 17, 44, -61
9, 16, 53, -66
12, 17, 54, -47
15, 16, 58, -7
18, 20, 65, 15
21, 28, 62, 12
24, 34, 58, 1
27, 36, 55, -8
