timestamp, x, y, z
0, 41, -6, -40
3, 33, -4, -29
6, 19, 0, -14
9, 4, 9, -13
12, -3, 18, -52
15, -6, 24, -97
18, -10, 41, -113
21, -15, 44, -101
24, -17, 29, -74
27, -17, 22, -62
30, -16, 21, -62
33, -15, 21, -61
