timestamp, x, y, z
0, 39, -11, -43
3, 33, -8, -38
6, 27, -3, -26
9, 23, -1, -18
12, 19, 4, -24
15, 5, 19, -48
18, -20, 38, -75
21, -23, 31, -80
24, -15, 13, -67
27, -22, 19, -60
30, -24, 21, -60
33, -21, 6, -62
