timestamp, x, y, z
0, 42, 50, 15
3, 40, 55, 26
6, 32, 60, 26
9, 18, 67, -5
12, 13, 66, -43
15, 19, 59, -56
18, 27, 53, -46
21, 32, 50, -31
24, 35, 51, -23
27, 36, 52, -21
30, 37, 50, -21
