timestamp, x, y, z
0, 34, 50, -24
3, 28, 53, -37
6, 22, 53, -66
9, 16, 49, -72
12, 4, 49, -28
15, 1, 54, 17
18, 11, 59, 29
21, 22, 59, 24
24, 28, 60, 19
27, 29, 61, 15
