timestamp, x, y, z
0, 34, 55, 12
3, 34, 54, 24
6, 32, 52, 35
9, 31, 47, 38
12, 28, 49, 31
15, 19, 56, 7
18, 17, 61, -27
21, 22, 59, -45
24, 27, 56, -40
27, 31, 52, -29
30, 34, 51, -21
