timestamp, x, y, z
0, 36, 46, -28
3, 31, 48, -40
6, 29, 52, -53
9, 29, 53, -56
12, 27, 51, -43
15, 21, 57, -13
18, 19, 65, 17
21, 24, 63, 25
24, 31, 61, 15
27, 35, 59, 4
