timestamp, x, y, z
0, 28, -3, -38
3, 32, -4, -44
6, 36, -6, -47
9, 38, -6, -45
12, 33, -6, -38
15, 18, -2, -25
18, -1, 6, -8
21, -7, 6, -29
24, -9, 11, -93
27, -19, 20, -116
30, -21, 19, -95
33, -17, 15, -77
36, -16, 15, -68
39, -18, 16, -64
42, -18, 17, -62
