timestamp, x, y, z
0, 40, -2, -37
3, 28, 1, -24
6, 12, 1, -10
9, -1, 1, -32
12, 2, 10, -76
15, 25, 16, -111
18, 32, 8, -108
21, 16, 7, -74
24, 7, 12, -57
27, 5, 12, -58
30, 7, 10, -61
33, 7, 10, -64
