timestamp, x, y, z
0, 41, 51, 15
3, 40, 52, 22
6, 35, 54, 26
9, 26, 58, 15
12, 18, 66, -14
15, 17, 70, -42
18, 22, 64, -45
21, 27, 56, -32
24, 31, 53, -21
27, 34, 53, -17
30, 35, 54, -17
